Espece;Effectif;Pourcentage
Cordyla pinnata;2814;42,57
Azadirachta indica;1292;19,54
Prosopis africana;345;5,22
Ficus capensis;342;5,17
Adansonia digitata;218;3,3
Faidherbia albida;203;3,07
Diospyros mespiliformis;173;2,62
Borassus aethiopium;144;2,18
Anogeissus leiocarpus;141;2,13
Eucalyptus camaldulensis;131;1,98
Piliostigma reticulatum;105;1,59
Terminalia macroptera;87;1,32
Ziziphus mauritiana;86;1,3
Anacardium occidentale;80;1,21
Ficus sycomorus;64;0,97
Manguifera indica;64;0,97
Combretum glutinosum;33;0,5
Gardenia ternifolia;31;0,47
Acacia seyal;29;0,44
Tamarindus indica;28;0,42
Euphorbia balsamifera;22;0,33
Celtis integrifolia;18;0,27
Acacia nilotica;17;0,26
Khekhou;17;0,26
Sclerocarya birrea;15;0,23
Hannoa undulata;12;0,18
Mitragyna inermis;11;0,17
Cola cordifolia;9;0,14
Guiera senegalensis;8;0,12
Ceiba pentandra;6;0,09
Balanites aegyptiaca;5;0,08
Bauhunia refusens;5;0,08
Parkia biglobosa;5;0,08
Sterculia setigera;5;0,08
Khaya senegalensis;4;0,06
Acacia radiana;3;0,05
Guierra senegalensis (pop);3;0,05
Khos;3;0,05
Parcous;3;0,05
Adansonia digitata (pop);2;0,03
Anacardium occidentale (verger);2;0,03
Eucalyptus camaldulensis (pop);2;0,03
Euphorbia balsamifera(pop);2;0,03
Ficus macrophylla;2;0,03
Jatropha curcas;2;0,03
Kheul;2;0,03
Maraichage;2;0,03
Parinari mcrophila;2;0,03
Acacia arabica;1;0,02
Andal;1;0,02
Bosquet;1;0,02
Calotropis procera;1;0,02
Champs de manioc;1;0,02
Diptone;1;0,02
Euphorbia balsamifera (pop);1;0,02
Fekh;1;0,02
Hannoa udulata- Cordila pinata_Rat (Cimetiere);1;0,02
Verger de manguier;1;0,02
Wereck;1;0,02
Xeul;1;0,02
